"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","Arew","Apun","K","betaF","betaP"
"10",81,5,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",82,5,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",83,5,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",84,5,NA,FALSE,164,4,0.132139635784552,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",85,5,NA,FALSE,164,4,0.125860212859698,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",86,5,NA,FALSE,164,4,0.111841204424854,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",87,5,NA,FALSE,164,3,0.139408115658443,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",88,5,NA,FALSE,164,4,0.114820960594807,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",89,5,NA,FALSE,164,4,0.146894939872436,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",90,5,NA,FALSE,164,3,0.120889882335905,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",91,5,NA,FALSE,164,4,0.115049053099938,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",92,5,NA,FALSE,164,4,0.141969229117967,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",93,5,NA,FALSE,164,1,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
